Q	Mismatches	TotalBases	Ts	Tv
0	0	0	0	0
1	0	0	0	0
2	0	2	0	0
3	60	213	23	37
4	1242	2129	326	916
5	3286	5097	859	2427
6	6144	10629	1532	4612
7	2895	13632	648	2247
8	1572	8102	319	1253
9	513	12614	115	398
10	247	17643	50	197
11	223	15659	50	173
12	99	24510	34	65
13	140	31073	45	95
14	69	47276	24	45
15	46	76026	24	22
16	62	98036	41	21
17	58	103526	47	11
18	51	134687	40	11
19	59	157050	52	7
20	67	162003	60	7
21	77	187345	71	6
22	45	156850	38	7
23	70	204035	65	5
24	71	240584	66	5
25	103	271482	99	4
26	116	340287	110	6
27	124	377382	119	5
28	151	480334	147	4
29	128	368994	120	8
30	83	270843	77	6
31	76	238322	72	4
32	52	155453	50	2
33	64	230879	61	3
34	102	276511	96	6
35	56	222221	51	5
36	73	271373	72	1
37	89	252380	86	3
38	45	155680	43	2
39	16	46334	16	0
40	0	3163	0	0
41	0	0	0	0
42	0	0	0	0
43	0	0	0	0
44	0	0	0	0
45	0	0	0	0
46	0	0	0	0
47	0	0	0	0
48	0	0	0	0
49	0	0	0	0
