Length	NumberOfReads
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	126
26	157
27	125
28	126
29	117
30	105
31	125
32	116
33	159
34	193
35	178
36	191
37	177
38	197
39	175
40	173
41	186
42	198
43	208
44	209
45	225
46	256
47	216
48	226
49	217
50	229
51	201
52	235
53	200
54	242
55	259
56	243
57	298
58	277
59	293
60	295
61	281
62	303
63	277
64	293
65	318
66	304
67	311
68	361
69	323
70	340
71	342
72	355
73	349
74	338
75	307
76	376
77	353
78	371
79	410
80	427
81	472
82	558
83	720
84	858
85	1226
86	1713
87	2727
88	3992
89	5757
90	7178
91	8543
92	9505
93	9644
94	8567
95	7181
96	5666
97	4292
98	2841
99	1470
